COUNTY,DATE,CDSD,EMXP,PRCP,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HTDD,TAVG,TMAX,TMIN,SNOW,PSUN
Addison,1990,317.0,2.52 ,54.87 ,317.0,2.0,136.0,55   ,107  ,0    ,-5.0,87   ,28.0,28.0,24.0,16.0,16.0,24.0,24.0,24.0,17.0,11.0,7198.0,47.2,54.2 ,38.5,131.3 ,95.85
Addison,1990,317.0,2.6  ,48.94 ,317.0,2.0,136.0,55.0,107.0,0.0,-5.0,87.0,28.0,28.0,24.0,16.0,16.0,24.0,24.0,24.0,17.0,11.0,7198.0,47.2,54.2,38.5,53.2  ,95.85
Addison,1990,317.0,2.4  ,46.65 ,317.0,2    ,136  ,55.0,107.0,0.0,-5   ,87.0,28   ,28   ,24   ,16   ,16   ,24   ,24   ,24   ,17   ,11   ,7198  ,47.2,54.2,38.5 ,69.4  ,95.85
Addison,1991,317.0,1.9  ,37.15 ,317.0,30   ,161  ,63   ,109  ,0    ,-22  ,89   ,31   ,26   ,23   ,20   ,16   ,30   ,27   ,20   ,20   ,11   ,7759.0,42.9 ,53.6 ,32.3 ,89.4  ,95.85
Addison,1991,317.0,1.9,37.15,317.0,30.0,161.0,63.0,109.0,0.0,-22.0,89.0,31.0,26.0,23.0,20.0,16.0,30.0,27.0,20.0,20.0,11.0,7759.0,42.9,53.6,32.3,26    ,95.85
Addison,1992,66   ,1.66 ,34.76 ,66   ,42   ,190  ,75   ,84   ,0    ,-22  ,84   ,26   ,26   ,24   ,18   ,15   ,30   ,27   ,24   ,15   ,15   ,8685  ,39.5 ,50.3 ,28.7 ,106.6 ,95.85
Addison,1992,269  ,1.67 ,34.51 ,269  ,28   ,174  ,41   ,127  ,1    ,-19  ,90   ,25   ,25   ,24   ,19   ,15   ,31   ,26   ,24   ,13   ,13   ,7909.5,43.9 ,56.3 ,31.4 ,22.3  ,95.85
Addison,1992,209  ,1.41 ,33.85 ,209  ,12   ,146  ,58   ,105  ,0    ,-11  ,87   ,28   ,28   ,19   ,19   ,15   ,32   ,24   ,24   ,20   ,15   ,7134  ,44.4 ,53.4 ,35.5 ,22.5  ,95.85
Addison,1993,142  ,1.85 ,43.76 ,142  ,47   ,203  ,88   ,89   ,0    ,-29  ,88   ,31   ,21   ,21   ,20   ,15   ,30   ,28   ,22   ,20   ,9    ,9145  ,38.5 ,49.5 ,27.5 ,174   ,95.85
Addison,1993,387  ,2    ,34.72 ,387  ,37   ,181  ,53   ,122  ,8    ,-32  ,95   ,27   ,27   ,24   ,18   ,3    ,31   ,28   ,21   ,19   ,10   ,7726  ,44   ,56.7 ,31.3 ,85.9  ,95.85
