COUNTY,DATE,CDSD,EMXP,PRCP,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HTDD,TAVG,TMAX,TMIN,SNOW
Grand Isle,1990,373.0,1.25,37.18,373.0,9.0,141.0,31.0,113.0,4.0,-9.0,93.0,31.0,28.0,24.0,18.0,14.0,30.0,27.0,24.0,15.0,15.0,7457.0,46.8,56.6,36.9,50.7
Grand Isle,1991,584.0,1.85,30.96,584.0,12.0,139.0,47.0,124.0,13.0,-9.0,95.0,32.0,28.0,20.0,20.0,16.0,27.0,27.0,24.0,20.0,16.0,6840.0,47.4,56.9,37.8,34.7
Grand Isle,1992,355.0,1.32,28.99,355.0,24.0,143.0,56.0,113.0,2.0,-13.0,90.0,31.0,25.0,22.0,19.0,16.0,32.0,21.0,21.0,20.0,16.0,7666.0,44.7,53.7,35.6,30.4
Grand Isle,1993,530.0,1.54,32.52,530.0,31.0,152.0,66.0,107.0,10.0,-27.0,93.0,32.0,26.0,23.0,15.0,15.0,28.0,28.0,22.0,13.0,13.0,7777.0,44.6,53.9,35.3,70.7
Grand Isle,1994,463.0,1.52,30.06,463.0,34.0,134.0,64.0,111.0,5.0,-31.0,96.0,31.0,26.0,19.0,19.0,16.0,32.0,28.0,17.0,17.0,11.0,8086.0,44.7,53.5,35.9,62.3
Grand Isle,1995,623.0,2.94,34.87,623.0,12.0,147.0,72.0,117.0,9.0,-16.0,98.0,31.0,28.0,17.0,17.0,14.0,31.0,23.0,23.0,14.0,14.0,6942.0,46.1,54.9,37.4,55.3
Grand Isle,1996,428.0,2.27,42.11,428.0,17.0,139.0,62.0,109.0,2.0,-17.0,92.0,31.0,28.0,21.0,16.0,16.0,31.0,24.0,24.0,19.0,12.0,7607.0,45.6,53.7,37.4,32.4
Grand Isle,1997,407.0,1.54,28.96,407.0,15.0,154.0,65.0,108.0,4.0,-11.0,92.0,30.0,26.0,24.0,19.0,16.0,31.0,24.0,24.0,13.0,13.0,7417.0,45.1,54.0,36.2,72.2
Grand Isle,1998,470.0,2.51,38.75,470.0,8.0,121.0,38.0,126.0,0.0,-13.0,89.0,32.0,26.0,20.0,20.0,16.0,29.0,28.0,24.0,13.0,13.0,6747.0,48.4,57.0,39.7,55.0
Grand Isle,1999,743.0,2.49,28.8,743.0,11.0,132.0,54.0,124.0,19.0,-23.0,96.0,32.0,27.0,21.0,16.0,16.0,32.0,27.0,24.0,18.0,4.0,6706.0,48.1,57.0,39.1,42.1
Grand Isle,2000,317.0,1.93,32.82,317.0,18.0,134.0,66.0,97.0,0.0,-13.0,86.0,29.0,27.0,23.0,13.0,13.0,31.0,24.0,24.0,16.0,16.0,7012.0,44.9,53.3,36.5,59.3
Grand Isle,2001,558.0,1.62,23.37,558.0,7.0,145.0,57.0,121.0,10.0,-7.0,97.0,31.0,28.0,24.0,17.0,15.0,32.0,28.0,24.0,19.0,15.0,7695.0,47.1,56.4,37.8,68.5
Grand Isle,2002,601.0,1.83,35.23,601.0,1.0,145.0,41.0,119.0,12.0,-1.0,97.0,29.0,28.0,22.0,17.0,16.0,32.0,26.0,20.0,20.0,16.0,6376.0,47.5,56.0,39.0,51.7
Grand Isle,2003,580.8333333333334,2.03,38.76,580.8333333333334,9.5,133.5,68.0,116.0,3.0,-9.0,94.0,30.5,27.5,23.0,18.0,16.0,31.5,24.5,21.5,19.0,15.5,6453.0,46.35,54.2,37.8,63.2
Grand Isle,2004,560.6666666666666,2.8,35.49,560.6666666666666,18.0,122.0,58.0,113.0,0.0,-17.0,87.0,32.0,27.0,24.0,19.0,16.0,31.0,23.0,23.0,18.0,15.0,6530.0,45.2,53.9,36.6,25.8
Grand Isle,2005,540.5,2.57,39.37,540.5,9.0,118.5,53.0,122.0,4.0,-7.5,93.0,30.5,27.5,24.0,18.0,13.0,31.0,25.5,23.5,17.0,15.5,6607.0,45.5,55.7,38.3,53.5
Grand Isle,2006,520.3333333333334,2.15,40.83,520.3333333333334,0.0,115.0,61.5,123.5,4.0,2.0,93.5,29.0,28.0,24.0,17.0,10.0,31.0,28.0,24.0,16.0,16.0,6684.0,45.8,55.150000000000006,40.0,24.6
