"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ADDISON","001","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - NUMBER OF TAPS","TOTAL","NOT SPECIFIED","308,392","38.1"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ADDISON","001","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","82","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ADDISON","001","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH TAPS","TOTAL","NOT SPECIFIED","82","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ADDISON","001","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS","TOTAL","NOT SPECIFIED","131,899","41.6"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ADDISON","001","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,469,000","50.0"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","BENNINGTON","003","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - NUMBER OF TAPS","TOTAL","NOT SPECIFIED","97,385","38.1"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","BENNINGTON","003","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","31","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","BENNINGTON","003","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH TAPS","TOTAL","NOT SPECIFIED","31","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","BENNINGTON","003","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS","TOTAL","NOT SPECIFIED","24,887","41.6"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","BENNINGTON","003","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","712,000","50.0"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CALEDONIA","005","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - NUMBER OF TAPS","TOTAL","NOT SPECIFIED","234,370","38.1"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CALEDONIA","005","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","118","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CALEDONIA","005","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH TAPS","TOTAL","NOT SPECIFIED","118","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CALEDONIA","005","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS","TOTAL","NOT SPECIFIED","69,488","41.6"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CALEDONIA","005","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,061,000","50.0"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CHITTENDEN","007","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - NUMBER OF TAPS","TOTAL","NOT SPECIFIED","378,646","38.1"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CHITTENDEN","007","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","145","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CHITTENDEN","007","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH TAPS","TOTAL","NOT SPECIFIED","145","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CHITTENDEN","007","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS","TOTAL","NOT SPECIFIED","128,323","41.6"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","CHITTENDEN","007","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,757,000","50.0"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ESSEX","009","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - NUMBER OF TAPS","TOTAL","NOT SPECIFIED","514,520","38.1"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ESSEX","009","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","20","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ESSEX","009","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH TAPS","TOTAL","NOT SPECIFIED","20","26.2"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ESSEX","009","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS","TOTAL","NOT SPECIFIED","108,630","41.6"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","ESSEX","009","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,978,000","50.0"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","FRANKLIN","011","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - NUMBER OF TAPS","TOTAL","NOT SPECIFIED","2,099,849","38.1"
"CENSUS","2017","YEAR","","COUNTY","VERMONT","50","ALL COUNTIES","10","FRANKLIN","011","","","00000000","","MAPLE SYRUP","MAPLE SYRUP - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","259","26.2"
