,cluster,YEAR,COUNTY,OPERATIONS WITH TAPS,OPERATIONS WITH SALES,NUMBER OF TAPS,SALES,PRODUCTION,Average Annual Temperature,Temp of Last Freeze <= 16 F (Jan - July),Heating Degree Days,# Days w/ Max Temp <= 32 F,Temp of Last Freeze <= 32 F (Jan - July),Highest Daily Precipitation Total,Total Annual Snowfall,Average Annual Minimum Temperature,# Days w/ Max Temp <= 70 F,Temp of Last Freeze <= 32 F (Aug - Dec),Extreme Min Temp,Temp of Last Freeze <= 16 F (Aug - Dec),Temp of Last Freeze <= 28 F (Jan - July),Temp of Last Freeze <= 24 F (Aug - Dec),# Days w/ Max Temp >= 90 F,Extreme Max Temp,Cooling Degree Days,Total Annual Precipitation,Temp of Last Freeze <= 24 F (Jan - July),Average Annual Maximum Temperature,Temp of Last Freeze <= 20 F (Jan - July),# Days w/ Max Temp <= 32 F,# Days w/ Max Temp <= 0 F,Mean Cooling Degree Days >= 65 F,Temp of Last Freeze <= 20 F (Aug - Dec),Temp of Last Freeze <= 28 F (Aug - Dec)
4,2,1997,ADDISON,87,104.0,100904,2092000.0,48802.5,45.6,15.0,7038.0,52.5,27.0,1.4,83.2,34.3,120.0,32.0,-17.0,13.0,27.0,24.0,9.5,92.5,375.0,30.285,20.0,56.3,20.0,170.0,12.0,375.0,19.0,28.0
2,2,2007,ADDISON,92,104.0,146342,2092000.0,37244.0,45.65,10.0,6991.0,60.0,32.0,1.54,132.3,34.65000000000001,138.5,29.5,-19.5,14.0,27.5,23.0,11.5,94.5,538.5,41.26,24.0,56.55,13.0,158.5,27.0,538.5,18.5,25.5
1,2,2012,ADDISON,91,90.0,153050,1290000.0,34809.0,58.2,7.0,6287.0,36.0,31.0,2.28,48.2,36.05555555555557,132.0,27.0,-7.0,15.0,26.0,24.0,7.0,97.0,542.0,39.54,23.0,37.0,18.0,146.0,5.0,542.0,16.0,24.0
9,2,1997,BENNINGTON,50,104.0,43754,2092000.0,48802.5,40.9,16.0,7608.558823529412,67.0,28.0,1.535,102.6,29.1,96.0,28.0,-16.0,15.0,28.0,23.0,0.0,87.5,91.0,46.99500000000001,24.0,52.3,20.0,202.0,17.0,91.0,18.0,28.0
7,2,2007,BENNINGTON,38,104.0,75423,2092000.0,10426.0,44.6,2.5,7210.0,62.0,31.5,1.7799999999999998,111.3,33.8,123.5,30.5,-10.5,12.0,23.5,23.5,1.5,91.0,250.5,47.715,21.0,55.45,10.0,167.5,18.0,250.5,18.5,25.0
6,2,2012,BENNINGTON,54,54.0,123150,1020000.0,27429.0,59.8,10.0,6268.0,27.0,27.0,2.395,49.1,110.0,136.5,25.0,-5.0,9.0,26.0,22.0,9.5,95.5,535.5,35.525,23.0,38.45,14.0,141.5,4.0,535.5,17.5,22.0
5,2,2017,BENNINGTON,31,31.0,97385,712000.0,24887.0,58.2,7.0,6547.0,45.0,29.0,3.47,47.8,190.0,137.0,27.0,-11.0,14.0,24.0,23.0,3.0,90.0,377.0,41.93,20.0,37.5,7.0,137.0,7.0,377.0,19.0,27.0
14,2,1997,CALEDONIA,107,104.0,122598,2092000.0,48802.5,41.0,15.5,8554.0,71.5,30.5,2.705,125.3,28.85,111.0,31.5,-31.5,15.5,27.0,24.0,0.5,89.5,183.0,42.265,23.0,53.15,19.0,197.0,36.5,183.0,19.0,27.0
12,2,2007,CALEDONIA,81,104.0,117520,2092000.0,23495.0,43.95,-5.0,7657.5,69.5,31.5,2.08,140.9,33.3,124.0,30.5,-23.0,14.5,27.5,22.0,5.0,91.5,356.0,43.72,19.0,54.6,7.0,170.5,26.0,356.0,18.0,26.0
11,2,2012,CALEDONIA,107,104.0,182883,900000.0,27206.0,54.85,14.0,7745.0,60.5,32.0,2.02,45.0,34.56170212765958,120.0,30.0,-15.5,14.5,26.0,22.5,1.0,89.5,304.5,38.335,23.0,35.2,19.0,158.5,13.0,304.5,15.5,24.0
