,cluster,YEAR,COUNTY,OPERATIONS WITH TAPS,OPERATIONS WITH SALES,NUMBER OF TAPS,SALES,PRODUCTION,Average Annual Temperature,Temp of Last Freeze <= 16 F (Jan - July),Heating Degree Days,# Days w/ Max Temp <= 32 F,Temp of Last Freeze <= 32 F (Jan - July),Highest Daily Precipitation Total,Total Annual Snowfall,Average Annual Minimum Temperature,# Days w/ Max Temp <= 70 F,Temp of Last Freeze <= 32 F (Aug - Dec),Extreme Min Temp,Temp of Last Freeze <= 16 F (Aug - Dec),Temp of Last Freeze <= 28 F (Jan - July),Temp of Last Freeze <= 24 F (Aug - Dec),# Days w/ Max Temp >= 90 F,Extreme Max Temp,Cooling Degree Days,Total Annual Precipitation,Temp of Last Freeze <= 24 F (Jan - July),Average Annual Maximum Temperature,Temp of Last Freeze <= 20 F (Jan - July),# Days w/ Max Temp <= 32 F,# Days w/ Max Temp <= 0 F,Mean Cooling Degree Days >= 65 F,Temp of Last Freeze <= 20 F (Aug - Dec),Temp of Last Freeze <= 28 F (Aug - Dec)
count,11.0,11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
unique,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,2002,CHITTENDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,3.0,,,143.0,104.0,203526.27272727274,2092000.0,45840.818181818184,44.07398677153618,11.376520712489093,7729.676449703129,25.863636363636363,30.554244496536988,2.353083825265643,109.33874416097737,33.557142667024095,19.227272727272727,34.01363636363636,20.40909090909091,11.485470933692277,26.49895909974961,28.850837378110104,30.90909090909091,46.06515151515151,388.05757575757576,46.445783943329396,21.755994729907773,54.31033216125113,17.475666508868088,94.83333333333331,10.027272727272727,88.81818181818181,18.584615969596204,147.9223927587564
std,0.0,,,57.56908892800024,0.0,140447.8826896945,0.0,31695.91389380714,1.8095195944384914,2.771472475623114,654.5876792264086,1.2667065384474236,1.7918548933795813,0.3337772293081761,35.075898258740125,1.631376690861955,1.1696930444273907,2.108683346201002,3.254367694485227,2.1492066014738436,0.8561398741547415,8.968836973288047,1.0912878130489183,5.687454295520655,133.51946099594042,5.182893092372067,1.5812922379755732,2.550888095117759,3.658449748450246,6.467869303977416,3.1777636504595206,12.100150262027176,0.9333682562781315,125.3621224675074
min,3.0,,,64.0,104.0,55381.0,2092000.0,12085.0,40.08,5.0,6992.666666666668,24.0,25.714285714285715,1.942,69.4,30.93,17.0,30.75,14.0,7.8,25.142857142857146,17.0,28.5,39.45,199.0,40.0009090909091,18.727272727272727,48.86,6.666666666666668,87.0,4.6,72.0,17.0,22.8
25%,3.0,,,96.5,104.0,127531.0,2092000.0,27272.0,43.150000000000006,10.41501976284585,7328.340062111802,25.0,30.15,2.1061363636363635,90.63695652173914,32.701623376623374,18.5,32.375,18.75,10.493506493506494,26.0,22.031986531986533,30.25,43.46666666666667,260.25,43.20736363636364,21.0,52.7961038961039,17.856521739130436,91.5,8.2,81.0,17.893478260869564,25.809523809523807
50%,3.0,,,135.0,104.0,163438.0,2092000.0,37799.0,44.38260869565217,11.0,7618.857142857143,26.0,31.33333333333333,2.344090909090909,104.58636363636364,33.251851851851846,20.0,34.15,21.0,11.9,26.555555555555557,23.66666666666667,31.0,45.65,456.5,45.95136363636364,21.727272727272727,54.8125,18.5,94.0,9.5,87.0,18.681818181818183,140.0
75%,3.0,,,190.5,104.0,241664.5,2092000.0,51914.5,45.3780303030303,13.0,7934.9577922077915,26.5,31.55892255892256,2.5256363636363637,111.7517857142857,34.38333333333333,20.0,35.725,22.75,12.607142857142858,26.851778656126484,37.45,31.75,46.25,479.66666666666663,48.69,22.55797101449275,55.903260869565216,18.882154882154882,97.25,12.15,95.75,19.24074074074074,280.0
max,3.0,,,240.0,104.0,579081.0,2092000.0,131244.0,46.16,15.5,9346.0,28.0,32.0,3.03,177.89999999999995,36.22,20.0,36.75,24.0,14.826086956521738,28.0,40.0,32.0,61.73333333333333,572.0,55.79,24.0,57.2,19.714285714285715,110.33333333333331,16.2,113.0,20.0,300.0
