,cluster,OPERATIONS WITH TAPS,OPERATIONS WITH SALES,NUMBER OF TAPS,SALES,PRODUCTION,Average Annual Temperature,Temp of Last Freeze <= 16 F (Jan - July),Heating Degree Days,# Days w/ Max Temp <= 32 F,Temp of Last Freeze <= 32 F (Jan - July),Highest Daily Precipitation Total,Total Annual Snowfall,Average Annual Minimum Temperature,# Days w/ Max Temp <= 70 F,Temp of Last Freeze <= 32 F (Aug - Dec),Extreme Min Temp,Temp of Last Freeze <= 16 F (Aug - Dec),Temp of Last Freeze <= 28 F (Jan - July),Temp of Last Freeze <= 24 F (Aug - Dec),# Days w/ Max Temp >= 90 F,Extreme Max Temp,Cooling Degree Days,Total Annual Precipitation,Temp of Last Freeze <= 24 F (Jan - July),Average Annual Maximum Temperature,Temp of Last Freeze <= 20 F (Jan - July),# Days w/ Max Temp <= 32 F,# Days w/ Max Temp <= 0 F,Mean Cooling Degree Days >= 65 F,Temp of Last Freeze <= 20 F (Aug - Dec),Temp of Last Freeze <= 28 F (Aug - Dec)
cluster,1.0,0.5766163307665539,0.3937525661381696,0.5167858145658795,0.3577520456178806,0.4399277324996453,0.39405281392735314,-0.3312283192277804,-0.22119347431484088,-0.16898260583319144,-0.015151304687671325,0.09949964360199444,-0.2554521734896529,0.2725785334610901,0.07388738134836755,0.07927264501799608,0.023012190151289753,-0.0832824404322751,-0.13237305425798282,-0.001222123272012693,0.09290376235453592,0.008450660912920955,0.1102741997944756,0.18592355442759304,0.019764346263083002,-0.37876853707262437,-0.12015002148651141,-0.09658870814322806,-0.034996889439192415,0.13052852977040375,0.28278747547861405,0.1369095732478828
OPERATIONS WITH TAPS,0.5766163307665539,1.0,0.6361668168318606,0.6017653565118525,0.4166638028451885,0.48179251055724065,0.04156640095589466,-0.15581720280084005,-0.0855706961237448,-0.17873638405963208,-0.02688384901865546,0.15093199791142314,-0.006479779517250754,0.06966445614891768,-0.06921936111619068,0.06688111580238006,0.04163433827407702,0.026430011736659008,-0.01136653090285892,0.044870036265994145,0.1752890654291226,-0.08285233389213768,-0.0004899878709831319,0.07145383577733702,0.21821823969901163,0.020329615435774735,0.15828636516418965,0.0059335860642130735,0.010901104362568016,-0.07071887956944359,0.2816455881876777,0.08917329978347042
OPERATIONS WITH SALES,0.3937525661381696,0.6361668168318606,1.0,0.6288679027379137,0.6598536872213754,0.6152495888194374,0.03315009155145735,-0.12059102728533821,-0.043561261260779256,0.007500670751857396,0.07433230715816108,0.0876408725899689,-0.017101246837912216,0.12470588148347717,0.017182201552842738,0.03443823089996631,-0.06793083043932086,0.16005826291158595,0.12970089044536784,0.045782047007308244,0.09101395279814964,0.012187193925262026,-0.011080084511012316,-0.010954393250505097,0.2404768499274657,-0.07151765949379622,0.09811984923384827,0.084656067519117,0.12411801391283883,-0.006906319578464541,0.1694964546726474,-0.0040654235153078045
NUMBER OF TAPS,0.5167858145658795,0.6017653565118525,0.6288679027379137,1.0,0.9098866178678368,0.9558494091979798,0.2731548433465181,-0.25030477543903196,-0.07340694863139964,0.07249354126590231,-0.02783232345765967,0.21254297434751196,-0.19297931679566632,0.021410472584008088,0.1549216426611168,0.058665560610975116,-0.19740992403391464,0.13591997004996265,-0.10410632115295221,-0.10860506474468234,-0.037253983163886485,0.15522441342578408,0.038768073668258615,-0.004837984777350201,0.10800631305566372,-0.36203983624000824,0.10888679530340148,0.14951671729034258,0.22619978950126232,0.14613599535678548,0.04933480083924325,-0.07798249800849695
SALES,0.3577520456178806,0.4166638028451885,0.6598536872213754,0.9098866178678368,1.0,0.9640667677640915,0.17437260996345447,-0.11086649280525179,-0.028657505518719175,0.07830920275124348,-0.04581647673122267,0.10963871743417349,-0.15381340727144407,-0.041615966782377486,0.09728861425568736,0.09849091621417098,-0.16142763555718204,0.1386786624901719,0.04680246904219214,-0.024400957789760393,0.02314587470058402,0.09308874704811224,0.03466016018415118,-0.04958459458137358,0.10909961612639946,-0.26895859710467207,0.10737912892955719,0.12673283049670625,0.23950275375978256,0.09589842440662845,0.06379633085921331,-0.046473025706890214
PRODUCTION,0.4399277324996453,0.48179251055724065,0.6152495888194374,0.9558494091979798,0.9640667677640915,1.0,0.2575800342018679,-0.14833639606291266,-0.05637514197538618,0.09565690996445403,-0.051306915202495224,0.09766786866649126,-0.20631350517863628,0.004865202235470623,0.15894961099596466,0.06307236289993359,-0.21024581156101665,0.13599385112413528,-0.0004535550871908723,-0.08140441470128633,-0.040806336218498836,0.16430223047868248,0.05076762976376595,-0.034816910419965666,0.07891838587955695,-0.35524236380731034,0.08479138809398018,0.16462489655561205,0.23746225866157822,0.16426734456319106,0.062301653264450994,-0.08073905987585149
Average Annual Temperature,0.39405281392735314,0.04156640095589466,0.03315009155145735,0.2731548433465181,0.17437260996345447,0.2575800342018679,1.0,-0.26905902607245086,-0.7060536685332987,-0.2883047197334445,0.0022711171312219808,0.16067344892151003,-0.7878438682013268,0.49618062262964285,0.5376015987087442,-0.2728678476643397,-0.10669344258444388,-0.07677493154726008,-0.32720770158298756,-0.2727930109123809,-0.1830750045485584,0.40878484229447404,0.48236035775428515,-0.27729780247657426,-0.03215189584743717,-0.8182469124889314,-0.1675709602115109,-0.03903829351588853,-0.38712042593060286,0.6585899384959779,-0.24518856178881313,-0.23227327556061206
Temp of Last Freeze <= 16 F (Jan - July),-0.3312283192277804,-0.15581720280084005,-0.12059102728533821,-0.25030477543903196,-0.11086649280525179,-0.14833639606291266,-0.26905902607245086,1.0,0.20531758435976652,0.05460990678120873,-0.17397955589276182,-0.12650985061681685,0.14136056304842973,-0.28619695240042337,-0.20763337609685645,0.1061180135855094,0.04919717736291524,0.03600800558841485,0.16763078137385332,0.1818383913667129,0.0082870224267117,-0.1640973013655057,-0.2218385719856589,0.08095602949847974,0.08762694876005064,0.1655953812647125,0.4008448159386389,0.06523318247783462,-0.03833123065145179,-0.32186963057533224,0.011004995054432297,0.12643558233108876
Heating Degree Days,-0.22119347431484088,-0.0855706961237448,-0.043561261260779256,-0.07340694863139964,-0.028657505518719175,-0.05637514197538618,-0.7060536685332987,0.20531758435976652,1.0,0.4886456018237764,0.06443617782550137,-0.11790390718635814,0.5583942160472194,-0.363373963572163,-0.42104709030461734,0.08265806901661085,-0.10338298774884078,0.2055849206802458,0.277987011115782,0.11434361395075017,-0.0180286247265522,-0.2817916775938111,-0.6903150381949757,0.33462117692203014,0.0328510747620536,0.2384268009724371,0.3006490522880891,0.16392706796913076,0.6058512482015738,-0.6035819824397446,-0.0017995072704037078,0.1412591990821249
# Days w/ Max Temp <= 32 F,-0.16898260583319144,-0.17873638405963208,0.007500670751857396,0.07249354126590231,0.07830920275124348,0.09565690996445403,-0.2883047197334445,0.05460990678120873,0.4886456018237764,1.0,0.0032959876204808804,-0.06841813598759519,0.38943903703098287,-0.14760490239657983,0.3680706264102044,-0.2874982414332078,-0.7745344091328636,0.46337033899239866,0.18839394563294348,-0.30954031045146313,-0.7304324869796189,0.5501329558556473,-0.524143067323356,0.35318813293508755,-0.1421919072239039,-0.08967474713279529,-0.021853062766949306,0.746802977216065,0.7684052037032605,-0.019674613023172104,-0.0018335366127563537,-0.38804086757825523
