"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1995",,,,,,,"174","0","100","0","117",,"40","0",,,,,"75","0","98","0","2","0",,,"22",",0,0206,+","18.0",",0,0205,","2.94",",0,1022,","94","0,0715,",,,,,,,,,,,,,,,,,,,,,"8357",,"8357","0","47.88",",0",,,"145.6",",0",,,"52.6","0",,,,,,,,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1998",,,,,,,"177","0","108","0",,,"18","0",,,,,,,,,,,,,,,"10.4",",0,0225,","3.65",",0,0627,",,,,,,,,,,,,,,,,,,,,,,,,,,,"60.38",",0",,,"69.1",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1999",,,"301",,"301","0","181","0","87","0",,,"26","0","25","0","165","0","64","0","110","0","1","0","-23","0,0115,+",,,"10.5",",0,0307,","3.97",",0,0917,","90","0,0905,","28","0,1006","28","0,1006","24","0,1015","19","0,1019","15","0,1112","31","0,0514","26","0,0513","22","0,0425","20","0,0411","15","0,0322","7810",,"7810","0","42.59",",0",,,"87.6",",0","43.9","0","54.6","0","33.2","0",,,,,,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2000",,,,,,,"218","0","122","0","114",,"31","0",,,,,,,,,,,,,"23",",0,0221,","11.5",",0,0410,","2.31",",0,0717,",,,,,,,,,,,,,,,,,,,,,,,"7702",,"7702",,"54.11",",0",,,"119.8",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00437217","SHOREHAM, VT US","43.86667","-73.25","85.3","1997",,,,,,,"75","0","64","0","82",,"17","0",,,,,"59","0","113","0","13","0",,,"16",",0,0307,","7.0",",0,0307,","1.07",",0,0822,","93","0,0811,",,,,,,,,,,,,,,,,,,,,,,,,,"25.63",",0",,,"60.5",",0",,,"55.7","0",,,,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2000",,,,,,,"176","0","129","0","117",,"50","0",,,,,,,,,,,,,"33",",0,0220,+","13.5",",0,0410,","1.64",",0,0730,",,,,,,,,,,,,,,,,,,,,,,,,,,,"58.64",",0",,,"178.7",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2000",,,,,,,"149","0","98","0","104",,,,,,,,,,,,,,,,"28",",0,0220,+",,,"2.50",",0,1217,",,,,,,,,,,,,,,,,,,,,,,,,,,,"43.09",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","1998",,,,,,,,,,,,,"27","0",,,,,,,,,,,,,,,"13.2",",0,0225,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93.3",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00430134","ALBANY, VT US","44.7","-72.38333","267.0","1995",,,,,,,,,,,"124",,"48","0",,,,,,,,,,,,,"24",",0,1224,","19.0",",0,0205,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153.3",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00430134","ALBANY, VT US","44.7","-72.38333","267.0","1998",,,,,,,,,,,,,"26","0",,,,,,,,,,,,,,,"12.2",",0,0322,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96.1",",0",,,,,,,,,,,,,,,,,,,,,,,,
