"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2000",,,,"218","122","114","31",,,,,,,"23","11.5","2.31",,,,,,,,,,,,"7702","7702","54.11",,"119.8",,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2001",,,,"167","73","132","36",,,,,,,"44","15.5","1.53",,,,,,,,,,,,,,"35.78",,"143.1",,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2002",,,,"194","89",,"28",,,,,,,,"6.6","2.76",,,,,,,,,,,,,,"43.18",,"91.1",,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2005",,,,,,,"28",,,,,,,,"10.5",,,,,,,,,,,,,,,,,"111.9",,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2000",,,,"176","129","117","50",,,,,,,"33","13.5","1.64",,,,,,,,,,,,,,"58.64",,"178.7",,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2001",,,,"143","94","128","47",,,,,,,"44","15.0","3.08",,,,,,,,,,,,,,"44.13",,"136.7",,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2002",,,,"168","116","152","52",,,,,,,"22","8.0","3.55",,,,,,,,,,,,,,"65.92",,"140.8",,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2003",,,,"178","101","139","47",,,,,,,"26","19.0","2.51",,,,,,,,,,,,,,"61.17",,"162.7",,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2005",,,,"152","112",,"49",,,,,,,,"14.0","3.15",,,,,,,,,,,,,,"63.11",,"146.4",,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2000",,,,"149","98","104",,,,,,,,"28",,"2.50",,,,,,,,,,,,,,"43.09",,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2003",,"467","467",,,,,"43","168","74","131","14","-28",,,,"99","31","23","23","12","12","30","28","17","17","11","7918","7918",,,,"43.1","55.7","30.6",,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6498","6498",,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2005",,"591","591",,,,,"21","170","48","134","11","-23",,,,"93","32","28","23","19","13","32","23","23","20","15","7272","7272",,,,"46.6","58.9","34.4",,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2003",,"308","308","184","104",,"31","29","162","63","119","2","-21",,"25.0","1.60","90","31","25","22","13","13","28","28","24","7","7",,,"49.18",,"114.3","44.0","55.6","32.4",,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2004",,"200","200","193","96",,"16","30","157","52","119","0","-21",,"6.0","1.80","89","32","27","20","20","16","25","25","20","20","7","7446","7446","48.48",,"53.6","43.9","55.5","32.4",,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2005",,,,,,"113","25","26","161",,,,"-24","13","9.0",,,"31","26","21","20","12","32","25","22","20","11","7385","7385",,,"90.4",,,"33.5",,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2002",,,,,,,"32",,,,,,,,"8.2",,,,,,,,,,,,,,,,,"104.6",,,,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2003",,,,,,"124","32",,,,,,,"26","18.3",,,,,,,,,,,,,,,,,"144.8",,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2000",,,,,,"82","26",,,,,,,"23","9.0",,,,,,,,,,,,,,,"54.34",,"80.4",,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2001",,,,,,"119","21",,,,,,,"28","14.0",,,,,,,,,,,,,,,,,"89.1",,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2002",,,,"125","94","105","18",,,,,,,"16","11.0","2.48",,,,,,,,,,,,,,"53.70",,"78.5",,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2003",,,,"126","87","117","22",,,,,,,"26","21.0","2.05",,,,,,,,,,,,,,"51.20",,"105.3",,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2004",,,,"121","84","100","18",,,,,,,"14","8.0","2.24",,,,,,,,,,,,,,"42.08",,"35.6",,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2000",,"236","236","187","112","121","34","29","144","57","108","1","-25","31","12.5","2.06","90","31","25","23","20","11","30","27","19","19","9","7009","7009","46.73",,"110.6","43.8","54.0","33.4",,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2001",,,,"152","72","127","27","25","168","58","123","11","-15","40","8.0","1.08","95","29","26","24","20","15","30","28","23","20","12",,,"31.23",,"82.0","45.1","57.0","33.2",,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2004",,"199","199","168","87","123","25","37","178","74","103","0","-32","28","4.0","3.51","88","30","28","23","13","13","30","25","24","20","9",,,"39.74",,"61.7","41.0","51.7","30.2",,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2005",,"475","475","171","105","128","34","38","160","77","111","3","-22","26","9.6","1.96","91","28","28","24","20","15","30","26","24","20","11","8813","8813","50.04",,"109.6","42.7","53.1","32.4",,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2000",,,,"166","84",,"26",,,,,,,,"6.0","1.92",,,,,,,,,,,,,,"35.20",,"74.5",,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2001",,,,"145","73",,"25",,,,,,,,"12.0","1.11",,,,,,,,,,,,,,"28.97",,"79.3",,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2003",,,,"155","83",,"27",,,,,,,,"14.0","1.66",,,,,,,,,,,,,,"34.64",,"75.2",,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2004",,,,"146","85",,"16",,,,,,,,"3.5","1.82",,,,,,,,,,,,,,"36.29",,"32.7",,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2005",,,,"169","104",,"20",,,,,,,,"9.8","2.40",,,,,,,,,,,,,,"46.11",,"69.2",,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2000",,"252","252","146","91","72","28","24","155","49","121","0","-18","15","8.0","3.65","88","31","24","24","19","12","31","28","22","0","0","6853","6853","45.29",,"83.7","45.0","56.1","33.9",,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2001",,"373","373","115","79","120","28","9","170","32","137","5","-5","28","14.0","2.08","91","31","24","24","18","15","32","27","23","20","8","7509","7509","31.98",,"88.0","47.0","58.5","35.4",,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2002",,"481","481","146","97","95","28","6","167","25","133","10","-5","15","11.0","1.85","93","31","24","24","20","16","32","26","14","14","14","6321","6321","43.24",,"84.1","47.2","58.2","36.2",,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2003",,"429","429","145","96","119","27","31","160","61","133","4","-22","22","12.0","2.82","92","31","28","23","13","13","32","28","24","5","5","7600","7600","48.76",,"116.6","45.2","56.3","34.0",,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2004",,"344","344","146","87","90","21","24","156","50","138","1","-17","11","4.0","2.12","90","32","27","23","15","15","29","23","23","5","5","7376","7376","41.76",,"43.6","45.7","56.9","34.6",,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2005",,"604","604","142","90","117","34","22","156","59","130","10","-21","18","11.0","2.50","93","30","28","24","19","10","28","28","24","18","15","7252","7252","47.65",,"110.0","46.8","58.2","35.4",,,,,
"USC00433581","GROTON, VT US","44.21611","-72.19972","240.8","2001",,,,"140","65",,"24",,,,,,,,"16.0","1.48",,,,,,,,,,,,,,"24.50",,"93.9",,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","2000",,,,"130","86",,,,,,,,,,,"1.61",,,,,,,,,,,,,,"37.34",,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","2002",,,,"107","72",,,,,,,,,,,"1.77",,,,,,,,,,,,,,"33.94",,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","2003",,,,,,,"19",,,,,,,,"11.0",,,,,,,,,,,,,,,,,"59.1",,,,,,,,
"USC00439988","WORCESTER 2 W, VT US","44.3747","-72.5822","414.5","2001",,,,"161","83","141","45",,,,,,,"46","12.5","1.42",,,,,,,,,,,,,,"32.43",,"158.3",,,,,,,,
"USC00439988","WORCESTER 2 W, VT US","44.3747","-72.5822","414.5","2002",,"267","267","173","87","157",,"8","174","65","98","0","-11","19",,"2.68","89","29","24","24","20","9","32","28","24","17","15","7248","7248","47.56",,"161.3","42.9","52.4","33.4",,,,,
"USC00439988","WORCESTER 2 W, VT US","44.3747","-72.5822","414.5","2003",,,,,,"134","31",,,,,,,"29","22.5",,,,,,,,,,,,,,,,,"155.5",,,,,,,,
"USC00439988","WORCESTER 2 W, VT US","44.3747","-72.5822","414.5","2004",,,,,,"127","35",,,,,,,"26","7.5",,,,,,,,,,,,,,,"39.01",,"84.8",,,,,,,,
"USC00439988","WORCESTER 2 W, VT US","44.3747","-72.5822","414.5","2005",,"390","390","168","100","141","36","22","158","79","103","1","-24","31","9.0","2.36","90","31","27","24","19","9","31","28","20","20","16","7936","7936","51.79",,"130.3","43.3","52.2","34.5",,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2000",,"317","317","145","86","71","21","18","134","66","97","0","-13","14","8.1","1.93","86","29","27","23","13","13","31","24","24","16","16","7012","7012","32.82",,"59.3","44.9","53.3","36.5",,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2001",,"558","558","96","62","119","17","7","145","57","121","10","-7","23","12.0","1.62","97","31","28","24","17","15","32","28","24","19","15","7695","7695","23.37",,"68.5","47.1","56.4","37.8",,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2002",,"601","601","123","74","69","12","1","145","41","119","12","-1","9","7.9","1.83","97","29","28","22","17","16","32","26","20","20","16","6376","6376","35.23",,"51.7","47.5","56.0","39.0",,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2003",,,,"120","68","106","15",,,"68","116","3",,"21","12.0","2.03","94",,,,,,,,,,,,,"38.76",,"63.2",,"54.2",,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2004",,,,"118","68",,"6","18","122","58","113","0","-17",,"4.6","2.80","87","32","27","24","19","16","31","23","23","18","15",,,"35.49",,"25.8","45.2","53.9","36.6",,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2005",,,,"124","79","102","16",,,"53","122","4",,"11","8.0","2.57","93",,,,,,,,,,,,,"39.37",,"53.5",,"55.7",,,,,,
"USR0000VMAR","MARLBORO COLLEGE VERMONT, VT US","42.8378","-72.735","513.9","2005",,"361","361",,,,,"16","161","61","112","1","-15",,,,"91","32","28","23","20","16","24","24","24","20","15","7650","7650",,,,"44.7","54.7","34.8",,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","2000","8.1","332","332","175","94","77","32","21","145","65","104","0","-14","20","14.3","1.91","89","30","28","18","18","6","32","28","24","20","12","7160","7160","39.30",,"118.1","44.9","53.8","36.0","123362","330","260","36.0","46.1"
