"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2005",,,,,,,,,,,,,"28","0",,,,,,,,,,,,,,,"10.5",",0,0211,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111.9",",0",,,,,,,,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2007",,,,,,,,,,,"140",,"38","0",,,,,,,,,,,,,"34",",0,0215,","22.0",",0,0215,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173.1",",0",,,,,,,,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2008",,,"211",,"211","0","181","0","111","0","134",,"43","0","22","0","175","0","76","0","104","0","3","0","-13","0,0229,","22",",0,0211,","11.2",",0,0207,","2.68",",0,0804,","92","0,0611,","32","0,0919","25","0,1018","24","0,1019","11","0,1119","11","0,1119","32","0,0529","27","0,0501","23","0,0416","18","0,0404","14","0,0331",,,,,"57.45",",0",,,"131.8",",0","42.8","0","53.2","0","32.5","0",,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2009",,,,,,,"182","0","103","0",,,"32","0",,,,,,,,,,,,,,,"10.0",",0,1229,","2.84",",0,0726,",,,,,,,,,,,,,,,,,,,,,,,,,,,"52.37",",0",,,"97.8",",0",,,,,,,,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2010",,,"306",,"306","0","145","0","98","0","95",,"32","0","9","0","167","0","64","0","102","0","3","0","-6","0,0131,","17",",0,0225,+","10.0",",0,0224,","4.30",",0,1001,","96","0,0901,","32","0,1003","26","0,1019","21","0,1103","16","0,1125","16","0,1125","27","0,0513","27","0,0513","13","0,0328","13","0,0328","13","0,0328","7547",,"7547","0","60.53",",0",,,"115.7",",0","44.8","0","54.3","0","35.2","0",,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2005",,,,,,,"152","0","112","0",,,"49","0",,,,,,,,,,,,,,,"14.0",",0,0211,","3.15",",0,1026,",,,,,,,,,,,,,,,,,,,,,,,,,,,"63.11",",0",,,"146.4",",0",,,,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2006",,,,,,,"193","0","130","0","108",,"36","0",,,,,,,,,,,,,"15",",0,0107,","13.0",",0,0304,","3.15",",0,0520,",,,,,,,,,,,,,,,,,,,,,,,,,,,"72.65",",0",,,"93.5",",0",,,,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2007",,,,,,,"191","0","115","0","145",,"52","0",,,,,,,,,,,,,"33",",0,0216,","16.0",",0,0215,","1.97",",0,0215,",,,,,,,,,,,,,,,,,,,,,,,,,,,"59.43",",0",,,"175.8",",0",,,,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2008",,,,,,,"187","0","124","0","151",,"63","0",,,,,,,,,,,,,"32",",0,0228,","9.0",",0,0207,+","2.13",",0,0713,",,,,,,,,,,,,,,,,,,,,,,,,,,,"59.48",",0",,,"155.9",",0",,,,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2009",,,,,,,"197","0","124","0","111",,"43","0",,,,,,,,,,,,,"28",",0,0130,+","8.0",",0,0129,","3.14",",0,0510,",,,,,,,,,,,,,,,,,,,,,,,,,,,"54.91",",0",,,"102.8",",0",,,,,,,,,,,,,,,,,,,,
