"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"US1VTAD0007","LINCOLN 1.6 SE, VT US","44.086667","-72.980233","325.2","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.67",",N",,,,,,,,,,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2010",,,"306",,"306","0","145","0","98","0","95",,"32","0","9","0","167","0","64","0","102","0","3","0","-6","0,0131,","17",",0,0225,+","10.0",",0,0224,","4.30",",0,1001,","96","0,0901,","32","0,1003","26","0,1019","21","0,1103","16","0,1125","16","0,1125","27","0,0513","27","0,0513","13","0,0328","13","0,0328","13","0,0328","7547",,"7547","0","60.53",",0","115.7",",0","44.8","0","54.3","0","35.2","0",,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2011",,,"231",,"231","7",,,,,,,,,"22","7","158","7","60","7","111","7","1","7","-18","7,0124,",,,,,,,"91","7,0722,","29","7,1006","25","7,1028","24","7,1029","17","7,1122","11","7,1211","31","7,0506","25","7,0422","23","7,0416","19","7,0408","16","7,0330","8227",,"8227","7",,,,,"44.5","7","54.4","7","34.6","7",,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2012",,,"280",,"280","7",,,,,"55",,"21","7","5","7","146","7","37","7","123","7","2","7","-7","7,0116,","16",",7,1230,","8.0",",7,0226,",,,"90","7,0805,+","27","7,1013","27","7,1013","24","7,1107","11","7,1130","11","7,1130","31","7,0501","25","7,0430","23","7,0406","18","7,0328","2","7,0307","6887",,"6887","7",,,"72.6",",7","47.0","7","56.9","7","37.0","7",,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2013",,,"242",,"242","7",,,,,,,"24","7","19","7","166","7","63","7","99","7","0","7","-11","7,0124,",,,"8.0",",7,0320,",,,"87","7,0718,","29","7,1024","22","7,1029","22","7,1029","14","7,1030","14","7,1030","32","7,0527","26","7,0422","24","7,0407","18","7,0323","15","7,0322","7226",,"7226","7",,,"73.1",",7","44.3","7","53.7","7","34.8","7",,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2014",,,"128",,"128","7",,,,,,,,,"46","7","185","7","81","7","91","7","0","7","-24","7,0122,",,,,,,,"86","7,0722,","32","7,0915","26","7,0919","24","7,1021","16","7,1115","16","7,1115","31","7,0519","27","7,0507","24","7,0425","15","7,0417","15","7,0417","8945",,"8945","7",,,,,"40.3","7","50.8","7","29.7","7",,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2015",,,"161",,"161","7",,,,,,,,,"49","7","182","7","78","7","109","7","0","7","-27","7,0217,",,,,,,,"86","7,0730,","32","7,0921","21","7,1018","21","7,1018","16","7,1019","16","7,1019","31","7,0524","24","7,0523","24","7,0523","19","7,0406","11","7,0402","9360",,"9360","7",,,,,"40.9","7","52.2","7","29.5","7",,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2010",,,,,,,"196","0","115","0","126",,"52","0",,,,,,,,,,,,,"30",",0,0224,","10.0",",0,0224,+","4.34",",0,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"65.60",",0","151.0",",0",,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2011",,,,,,,"195","7","128","7","123",,"49","7",,,,,,,,,,,,,"42",",7,0308,","24.0",",7,0307,","6.76",",7,0829,",,,,,,,,,,,,,,,,,,,,,,,,,,,"70.35",",7","179.0",",7",,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2012",,,,,,,"190","7","113","7","96",,"35","7",,,,,,,,,,,,,"31",",7,0226,","17.0",",7,0226,","3.30",",7,0724,",,,,,,,,,,,,,,,,,,,,,,,,,,,"58.17",",7","133.0",",7",,,,,,,,,,,,,,,,,,
