"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","MAPLE SYRUP - LENGTH OF SEASON, AVG, MEASURED IN DAYS  -  <b>VALUE</b>","MAPLE SYRUP - LENGTH OF SEASON, AVG, MEASURED IN DAYS  -  <b>CV (%)</b>","MAPLE SYRUP - NUMBER OF TAPS  -  <b>VALUE</b>","MAPLE SYRUP - NUMBER OF TAPS  -  <b>CV (%)</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS  -  <b>VALUE</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS  -  <b>CV (%)</b>","MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP  -  <b>VALUE</b>","MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP  -  <b>CV (%)</b>"
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","30","","13,340,000","","","","4,240,000","","0.318",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","42","","13,844,000","","141,825,000","","4,199,000","","0.303",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","37.1","","14,201,000","","145,346,000","","4,385,000","","0.309",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","33.2","","12,912,000","","147,208,000","","4,184,000","","0.324",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","26","","12,060,000","","125,890,000","","3,461,000","","0.287",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","29","","11,581,000","","117,003,000","","3,247,000","","0.28",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","37","","11,399,000","","131,766,000","","3,539,000","","0.31",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","11,144,000","","87,932,000","","2,276,000","","0.204",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","10,050,000","","111,163,000","","2,940,000","","0.293",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","9,458,000","","75,241,000","","2,010,000","","0.213",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","8,975,000","","91,085,000","","2,404,000","","0.268",""
