STATION,NAME,LATITUDE,LONGITUDE,COUNTY,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
USC00437612,"SOUTH LINCOLN, VT US",44.0725,-72.9736,Addison,408.7,1990,,,,,,,177.0,0,105.0,0,108.0,,42.0,0,,,,,55.0,0,107.0,0,0.0,0,,,13.0,",0,1217,",12.2,",0,0321,",2.52,",0,0724,",87.0,"0,0429,",,,,,,,,,,,,,,,,,,,,,,,,,54.87,",0",,,131.3,",0",,,54.2,0,,,,,,,,,,,,,,,,,,,,
USC00437612,"SOUTH LINCOLN, VT US",44.0725,-72.9736,Addison,408.7,1991,,,,,,,141.0,0,84.0,0,98.0,,34.0,0,30.0,0,161.0,0,63.0,0,109.0,0,0.0,0,-22.0,"0,0125,",12.0,",0,0113,",7.5,",0,0112,",1.9,",0,0422,",89.0,"0,0721,",31.0,"0,0922",26.0,"0,0930",23.0,"0,1014",20.0,"0,1030",16.0,"0,1106",30.0,"0,0509",27.0,"0,0419",20.0,"0,0414",20.0,"0,0414",11.0,"0,0331",,,,,37.15,",0",,,89.4,",0",42.9,0,53.6,0,32.3,0,,,,,,,,,,,,,,,,,,
USC00437612,"SOUTH LINCOLN, VT US",44.0725,-72.9736,Addison,408.7,1992,,,66.0,,66.0,0,158.0,0,82.0,0,122.0,,38.0,0,42.0,0,190.0,0,75.0,0,84.0,0,0.0,0,-22.0,"0,0210,+",17.0,",0,0210,+",10.2,",0,0205,",1.66,",0,0923,",84.0,"0,0524,",26.0,"0,0924",26.0,"0,0924",24.0,"0,1006",18.0,"0,1031",15.0,"0,1102",30.0,"0,0526",27.0,"0,0525",24.0,"0,0428",15.0,"0,0416",15.0,"0,0416",8685.0,,8685.0,0,34.76,",0",,,106.6,",0",39.5,0,50.3,0,28.7,0,,,,,,,,,,,,,,,,,,
USC00437612,"SOUTH LINCOLN, VT US",44.0725,-72.9736,Addison,408.7,1993,,,142.0,,142.0,0,174.0,0,105.0,0,127.0,,53.0,0,47.0,0,203.0,0,88.0,0,89.0,0,0.0,0,-29.0,"0,0207,",38.0,",0,0315,",25.6,",0,0314,",1.85,",0,0314,",88.0,"0,0708,",31.0,"0,0912",21.0,"0,0920",21.0,"0,0920",20.0,"0,0930",15.0,"0,1011",30.0,"0,0530",28.0,"0,0514",22.0,"0,0425",20.0,"0,0424",9.0,"0,0324",9145.0,,9145.0,0,43.76,",0",,,174.0,",0",38.5,0,49.5,0,27.5,0,,,,,,,,,,,,,,,,,,
USC00437612,"SOUTH LINCOLN, VT US",44.0725,-72.9736,Addison,408.7,1994,,,144.0,,144.0,0,163.0,0,96.0,0,126.0,,42.0,0,50.0,0,191.0,0,85.0,0,75.0,0,0.0,0,-35.0,"0,0127,+",35.0,",0,0118,",13.0,",0,0118,",1.36,",0,0822,+",88.0,"0,0722,",30.0,"0,1001",25.0,"0,1012",23.0,"0,1016",20.0,"0,1112",7.0,"0,1124",29.0,"0,0529",25.0,"0,0528",24.0,"0,0504",18.0,"0,0424",8.0,"0,0408",10535.0,,10535.0,0,42.23,",0",,,132.7,",0",38.6,0,49.5,0,27.8,0,,,,,,,,,,,,,,,,,,
USC00437612,"SOUTH LINCOLN, VT US",44.0725,-72.9736,Addison,408.7,1995,,,,,,,174.0,0,100.0,0,117.0,,40.0,0,,,,,75.0,0,98.0,0,2.0,0,,,22.0,",0,0206,+",18.0,",0,0205,",2.94,",0,1022,",94.0,"0,0715,",,,,,,,,,,,,,,,,,,,,,8357.0,,8357.0,0,47.88,",0",,,145.6,",0",,,52.6,0,,,,,,,,,,,,,,,,,,,,
USC00437217,"SHOREHAM, VT US",43.86667,-73.25,Addison,85.3,1994,,,,,,,,,,,,,18.0,0,,,,,,,,,,,,,,,12.0,",0,0118,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8,",0",,,,,,,,,,,,,,,,,,,,,,,,
USC00430134,"ALBANY, VT US",44.7,-72.38333,Orleans,267.0,1994,,,,,,,198.0,0,104.0,0,151.0,,37.0,0,,,,,78.0,0,101.0,0,4.0,0,,,48.0,",0,0304,",21.5,",0,0304,",2.17,",0,0822,",94.0,"0,0619,",,,,,,,,,,,,,,,,,,,,,,,,,44.5,",0",,,163.2,",0",,,51.9,0,,,,,,,,,,,,,,,,,,,,
USC00430134,"ALBANY, VT US",44.7,-72.38333,Orleans,267.0,1995,,,,,,,,,,,124.0,,48.0,0,,,,,,,,,,,,,24.0,",0,1224,",19.0,",0,0205,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.3,",0",,,,,,,,,,,,,,,,,,,,,,,,
USC00430499,"BELLOWS FALLS, VT US",43.13333,-72.45,Windham,82.3,1990,,,504.0,,504.0,0,126.0,0,80.0,0,71.0,,15.0,0,2.0,0,159.0,0,30.0,0,124.0,0,6.0,0,-8.0,"0,0226,",15.0,",0,0205,",13.0,",0,0130,",2.78,",0,0811,",93.0,"0,0705,",31.0,"0,0919",27.0,"0,1028",24.0,"0,1109",18.0,"0,1206",16.0,"0,1211",24.0,"0,0425",24.0,"0,0425",24.0,"0,0425",20.0,"0,0329",15.0,"0,0328",7612.0,,7612.0,0,49.74,",0",,,56.5,",0",47.4,0,57.9,0,36.9,0,,,,,,,,,,,,,,,,,,
