STATION,NAME,LATITUDE,LONGITUDE,COUNTY,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1990,373.0,373.0,131,84,65.0,12.0,9.0,141.0,31.0,113.0,4.0,-9.0,11.0,7.1,1.25,93.0,31.0,28.0,24.0,18.0,14.0,30.0,27.0,24.0,15.0,15.0,7457.0,7457.0,37.18,50.7,46.8,56.6,36.9
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1991,584.0,584.0,119,66,66.0,10.0,12.0,139.0,47.0,124.0,13.0,-9.0,11.0,7.1,1.85,95.0,32.0,28.0,20.0,20.0,16.0,27.0,27.0,24.0,20.0,16.0,6840.0,6840.0,30.96,34.7,47.4,56.9,37.8
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1992,355.0,355.0,120,63,78.0,10.0,24.0,143.0,56.0,113.0,2.0,-13.0,12.0,7.1,1.32,90.0,31.0,25.0,22.0,19.0,16.0,32.0,21.0,21.0,20.0,16.0,7666.0,7666.0,28.99,30.4,44.7,53.7,35.6
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1993,530.0,530.0,127,76,104.0,17.0,31.0,152.0,66.0,107.0,10.0,-27.0,21.0,9.8,1.54,93.0,32.0,26.0,23.0,15.0,15.0,28.0,28.0,22.0,13.0,13.0,7777.0,7777.0,32.52,70.7,44.6,53.9,35.3
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1994,463.0,463.0,107,71,99.0,15.0,34.0,134.0,64.0,111.0,5.0,-31.0,14.0,8.9,1.52,96.0,31.0,26.0,19.0,19.0,16.0,32.0,28.0,17.0,17.0,11.0,8086.0,8086.0,30.06,62.3,44.7,53.5,35.9
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1995,623.0,623.0,116,68,87.0,17.0,12.0,147.0,72.0,117.0,9.0,-16.0,14.0,13.0,2.94,98.0,31.0,28.0,17.0,17.0,14.0,31.0,23.0,23.0,14.0,14.0,6942.0,6942.0,34.87,55.3,46.1,54.9,37.4
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1996,428.0,428.0,136,79,61.0,12.0,17.0,139.0,62.0,109.0,2.0,-17.0,15.0,4.0,2.27,92.0,31.0,28.0,21.0,16.0,16.0,31.0,24.0,24.0,19.0,12.0,7607.0,7607.0,42.11,32.4,45.6,53.7,37.4
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1997,407.0,407.0,123,74,105.0,19.0,15.0,154.0,65.0,108.0,4.0,-11.0,12.0,9.0,1.54,92.0,30.0,26.0,24.0,19.0,16.0,31.0,24.0,24.0,13.0,13.0,7417.0,7417.0,28.96,72.2,45.1,54.0,36.2
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1998,470.0,470.0,120,78,,13.0,8.0,121.0,38.0,126.0,0.0,-13.0,,8.1,2.51,89.0,32.0,26.0,20.0,20.0,16.0,29.0,28.0,24.0,13.0,13.0,6747.0,6747.0,38.75,55.0,48.4,57.0,39.7
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,1999,743.0,743.0,115,60,,13.0,11.0,132.0,54.0,124.0,19.0,-23.0,,8.0,2.49,96.0,32.0,27.0,21.0,16.0,16.0,32.0,27.0,24.0,18.0,4.0,6706.0,6706.0,28.8,42.1,48.1,57.0,39.1
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2000,317.0,317.0,145,86,71.0,21.0,18.0,134.0,66.0,97.0,0.0,-13.0,14.0,8.1,1.93,86.0,29.0,27.0,23.0,13.0,13.0,31.0,24.0,24.0,16.0,16.0,7012.0,7012.0,32.82,59.3,44.9,53.3,36.5
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2001,558.0,558.0,96,62,119.0,17.0,7.0,145.0,57.0,121.0,10.0,-7.0,23.0,12.0,1.62,97.0,31.0,28.0,24.0,17.0,15.0,32.0,28.0,24.0,19.0,15.0,7695.0,7695.0,23.37,68.5,47.1,56.4,37.8
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2002,601.0,601.0,123,74,69.0,12.0,1.0,145.0,41.0,119.0,12.0,-1.0,9.0,7.9,1.83,97.0,29.0,28.0,22.0,17.0,16.0,32.0,26.0,20.0,20.0,16.0,6376.0,6376.0,35.23,51.7,47.5,56.0,39.0
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2003,,,120,68,106.0,15.0,,,68.0,116.0,3.0,,21.0,12.0,2.03,94.0,,,,,,,,,,,,,38.76,63.2,,54.2,
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2004,,,118,68,,6.0,18.0,122.0,58.0,113.0,0.0,-17.0,,4.6,2.8,87.0,32.0,27.0,24.0,19.0,16.0,31.0,23.0,23.0,18.0,15.0,,,35.49,25.8,45.2,53.9,36.6
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2005,,,124,79,102.0,16.0,,,53.0,122.0,4.0,,11.0,8.0,2.57,93.0,,,,,,,,,,,,,39.37,53.5,,55.7,
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2006,,,130,84,42.0,9.0,0.0,115.0,,,,2.0,6.0,3.0,2.15,,29.0,28.0,24.0,17.0,10.0,31.0,28.0,24.0,16.0,16.0,,,40.83,24.6,,,40.0
