"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1990","373","373","131","84","65","12","9","141","31","113","4","-9","11","7.1","1.25","93","31","28","24","18","14","30","27","24","15","15","7457","7457","37.18","50.7","46.8","56.6","36.9"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1991","584","584","119","66","66","10","12","139","47","124","13","-9","11","7.1","1.85","95","32","28","20","20","16","27","27","24","20","16","6840","6840","30.96","34.7","47.4","56.9","37.8"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1992","355","355","120","63","78","10","24","143","56","113","2","-13","12","7.1","1.32","90","31","25","22","19","16","32","21","21","20","16","7666","7666","28.99","30.4","44.7","53.7","35.6"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1993","530","530","127","76","104","17","31","152","66","107","10","-27","21","9.8","1.54","93","32","26","23","15","15","28","28","22","13","13","7777","7777","32.52","70.7","44.6","53.9","35.3"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1994","463","463","107","71","99","15","34","134","64","111","5","-31","14","8.9","1.52","96","31","26","19","19","16","32","28","17","17","11","8086","8086","30.06","62.3","44.7","53.5","35.9"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1995","623","623","116","68","87","17","12","147","72","117","9","-16","14","13.0","2.94","98","31","28","17","17","14","31","23","23","14","14","6942","6942","34.87","55.3","46.1","54.9","37.4"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1996","428","428","136","79","61","12","17","139","62","109","2","-17","15","4.0","2.27","92","31","28","21","16","16","31","24","24","19","12","7607","7607","42.11","32.4","45.6","53.7","37.4"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1997","407","407","123","74","105","19","15","154","65","108","4","-11","12","9.0","1.54","92","30","26","24","19","16","31","24","24","13","13","7417","7417","28.96","72.2","45.1","54.0","36.2"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1998","470","470","120","78",,"13","8","121","38","126","0","-13",,"8.1","2.51","89","32","26","20","20","16","29","28","24","13","13","6747","6747","38.75","55.0","48.4","57.0","39.7"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1999","743","743","115","60",,"13","11","132","54","124","19","-23",,"8.0","2.49","96","32","27","21","16","16","32","27","24","18","4","6706","6706","28.80","42.1","48.1","57.0","39.1"
